invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,36,2,35,170,249.82999999999993
2019-08-13,46,2,46,82,129.37000000000003
2019-08-14,11,1,11,138,44.510000000000005
2019-08-18,4,2,4,7,25.599999999999998
2019-08-21,18,1,18,215,63.36000000000001
2019-08-25,122,1,117,632,304.2799999999999
2019-08-28,17,2,16,55,84.08
2019-09-02,39,1,39,181,252.12999999999988
2019-09-05,23,1,23,166,130.00000000000003
2019-09-16,36,1,36,409,111.60000000000005
2019-09-17,2,1,2,4,25.5
2019-09-18,57,1,57,492,176.1499999999999
2019-09-20,52,2,51,467,172.74999999999991
2019-09-22,16,1,16,106,85.94
2019-09-24,19,1,19,218,43.8
2019-09-30,1,1,1,3,9.95
2019-10-01,1,1,1,3,1.25
2019-10-04,22,1,22,131,123.07999999999998
2019-10-11,15,1,15,200,109.23
2019-10-14,15,1,15,42,109.23000000000002
2019-10-15,41,1,41,453,98.77000000000001
2019-10-16,12,1,12,113,55.57
2019-10-17,54,1,54,182,141.39999999999998
2019-10-21,24,1,24,158,90.99000000000001
2019-10-23,22,1,22,194,130.94
2019-10-27,116,1,116,1048,377.7499999999999
2019-10-31,19,1,19,136,78.02000000000001
2019-11-01,63,1,55,285,213.48999999999984
2019-11-04,9,2,9,21,68.44
2019-11-05,24,1,24,195,104.39999999999999
2019-11-07,46,3,45,382,168.89999999999998
2019-11-14,47,2,47,398,172.95
2019-11-17,39,2,37,368,157.84999999999997
2019-11-18,22,1,22,181,106.82000000000001
2019-11-20,4,1,4,60,12.7
2019-11-21,9,1,9,65,48.34
2019-11-26,31,1,31,117,69.03
2019-12-03,12,1,12,154,40.08
2019-12-04,59,2,58,106,110.40000000000005
